실수,ㅅㅣㄹㅅㅜ
부문,ㅂㅜㅁㅜㄴ
규정,ㄱㅠㅈㅓㅇ
식구,ㅅㅣㄱㄱㅜ
개선,ㄱㅐㅅㅓㄴ
그릇,ㄱㅡㄹㅡㅅ
글자,ㄱㅡㄹㅈㅏ
조상,ㅈㅗㅅㅏㅇ
대형,ㄷㅐㅎㅕㅇ
미술,ㅁㅣㅅㅜㄹ
군사,ㄱㅜㄴㅅㅏ
마당,ㅁㅏㄷㅏㅇ
부인,ㅂㅜㅇㅣㄴ
지적,ㅈㅣㅈㅓㄱ
우산,ㅇㅜㅅㅏㄴ
무릎,ㅁㅜㄹㅡㅍ
이용,ㅇㅣㅇㅛㅇ
참여,ㅊㅏㅁㅇㅕ
소득,ㅅㅗㄷㅡㄱ
침대,ㅊㅣㅁㄷㅐ
시계,ㅅㅣㄱㅕㅣ
의도,ㅇㅡㅣㄷㅗ
교회,ㄱㅛㅎㅗㅣ
외부,ㅇㅗㅣㅂㅜ
고객,ㄱㅗㄱㅐㄱ
수술,ㅅㅜㅅㅜㄹ
연기,ㅇㅕㄴㄱㅣ
마늘,ㅁㅏㄴㅡㄹ
고민,ㄱㅗㅁㅣㄴ
상처,ㅅㅏㅇㅊㅓ
진리,ㅈㅣㄴㄹㅣ
태양,ㅌㅐㅇㅑㅇ
동료,ㄷㅗㅇㄹㅛ
부족,ㅂㅜㅈㅗㄱ
개성,ㄱㅐㅅㅓㅇ
후반,ㅎㅜㅂㅏㄴ
숫자,ㅅㅜㅅㅈㅏ
택시,ㅌㅐㄱㅅㅣ
꼬리,ㄱㄱㅗㄹㅣ
전기,ㅈㅓㄴㄱㅣ
주식,ㅈㅜㅅㅣㄱ
상표,ㅅㅏㅇㅍㅛ
잡지,ㅈㅏㅂㅈㅣ
실시,ㅅㅣㄹㅅㅣ
재정,ㅈㅐㅈㅓㅇ
학자,ㅎㅏㄱㅈㅏ
기름,ㄱㅣㄹㅡㅁ
용어,ㅇㅛㅇㅇㅓ
지위,ㅈㅣㅇㅜㅣ
용기,ㅇㅛㅇㄱㅣ
토론,ㅌㅗㄹㅗㄴ
고급,ㄱㅗㄱㅡㅂ
고생,ㄱㅗㅅㅐㅇ
수석,ㅅㅜㅅㅓㄱ
제사,ㅈㅓㅣㅅㅏ
주말,ㅈㅜㅁㅏㄹ
지혜,ㅈㅣㅎㅕㅣ
참새,ㅊㅏㅁㅅㅐ
내년,ㄴㅐㄴㅕㄴ
순서,ㅅㅜㄴㅅㅓ
해결,ㅎㅐㄱㅕㄹ
여론,ㅇㅕㄹㅗㄴ
체조,ㅊㅓㅣㅈㅗ
물가,ㅁㅜㄹㄱㅏ
직후,ㅈㅣㄱㅎㅜ
차량,ㅊㅏㄹㅑㅇ
재판,ㅈㅐㅍㅏㄴ
제자,ㅈㅓㅣㅈㅏ
